id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3aLMnL5LOmwMXYgnWWPJid,0.668,0.709,-5.034,0.175,0.0153,0.0,0.242,0.967,175.894
1WbjIWan3JBeOV4wrIveRA,0.83,0.531,-5.805,0.158,0.317,0.0,0.0936,0.937,82.488
6jZVjpytansF9eNR7f42yv,0.679,0.527,-7.356,0.0544,0.177,0.0,0.0743,0.752,155.126
79mERrds35hOK0Y8yUIYEi,0.822,0.5,-6.254,0.0623,0.282,0.0,0.208,0.581,100.051
3kQhtfzbTyOYpw2MeKBR7e,0.708,0.509,-7.086,0.107,0.176,0.0,0.0495,0.672,179.88
4CYFGGc4EVyfktgY6Oli2B,0.59,0.222,-11.28,0.0388,0.634,0.0,0.119,0.622,141.846
4d27ZyAYfKRmIQAuF7mYKy,0.432,0.175,-13.269,0.0447,0.692,0.0,0.117,0.203,177.434
7eeHCS30IlVQyC4OsTc1kT,0.806,0.562,-7.45,0.139,0.183,0.0,0.131,0.777,102.036
7lCABy5ozzPeDGxYB4ja4D,0.744,0.577,-7.246,0.0567,0.0657,0.0,0.378,0.639,95.021
4j5gXarJqoiwh4ZIAqZcmh,0.634,0.778,-4.135,0.0809,0.0189,0.0,0.291,0.462,155.982
7gm2omqXDTaT4sS17hSu8T,0.827,0.56,-6.685,0.0327,0.55,3.66e-05,0.15,0.873,122.056
4PTL4dJzIpz3UKnfv5nr2V,0.52,0.411,-11.117,0.0382,0.578,0.0,0.365,0.43,143.979
2zu30LdbP8392UxdpWrWG9,0.853,0.537,-7.33,0.0891,0.0223,0.0,0.264,0.798,92.032
2gtm8uC0kTOm87OKcuvLxo,0.757,0.434,-11.102,0.0655,0.531,0.0,0.34,0.798,84.981
3B35weG0VesnSZ4ty8ZBRN,0.642,0.739,-5.929,0.089,0.515,0.0,0.0654,0.487,169.93
7nvwVMGojdHqrSRCaxMFv9,0.714,0.872,-4.814,0.0935,0.0765,0.0,0.108,0.838,107.951
7HFtKNaYQ5ggZ07shL6hN0,0.703,0.602,-5.543,0.101,0.334,0.0,0.414,0.747,76.027
1yc2EvLPgWlHHDsm4DT0rJ,0.707,0.712,-5.585,0.193,0.34,0.0,0.218,0.86,87.495
2pYUQOwTufkQ9VLkaenb1j,0.677,0.821,-3.858,0.0625,0.144,0.0,0.125,0.804,104.878
7F9TZ2RT8rdVyzLFmfagiR,0.546,0.442,-6.541,0.0286,0.24,0.0,0.122,0.323,89.019
2lC6OoqtVRSi2cxcV3iq2m,0.861,0.566,-6.142,0.0669,0.838,0.0,0.131,0.958,120.105
7wfxf9QXBIWgBx1aG5QWhR,0.593,0.503,-5.635,0.0652,0.112,0.0,0.331,0.278,159.971
31XxRxQ4g4mVkHoJwhCJ5z,0.529,0.798,-4.956,0.236,0.0137,0.0,0.0487,0.777,159.913
7jns5GD8u5gDl5WsCie6Tr,0.782,0.456,-7.98,0.0401,0.073,1.74e-06,0.208,0.449,95.003
0mAG1i2p2d4Ml2Jp97g2NP,0.789,0.526,-8.095,0.0484,0.33,0.000474,0.235,0.476,114.028
1Nt4hDwC9bGT8P9NU5TuFX,0.725,0.485,-7.651,0.0727,0.113,0.0,0.0784,0.527,89.995
6nPs4YNMQHi1hT37ILuo66,0.575,0.675,-7.22,0.038,0.00404,0.0,0.157,0.34,113.9
7FFczcnyKPpQSQKxSpJ71V,0.938,0.311,-7.776,0.0602,0.492,0.0394,0.117,0.875,109.974
2fC9EwghGePs0igz1ZYqpi,0.719,0.557,-4.547,0.0814,0.616,0.0,0.774,0.831,82.486
1nPoBr8PuM1Llme2OJ1Hrl,0.656,0.603,-8.971,0.0575,0.276,1.45e-06,0.13,0.415,90.047
4xPSBabrMDpdmIacsJmMs0,0.662,0.588,-6.587,0.0703,0.161,0.0,0.0647,0.672,89.039
4YLKHaxYieIw6iMVfIvKm7,0.791,0.639,-4.962,0.104,0.358,0.0,0.0833,0.473,97.01
