id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6bR73z9iePTSentAQ9mNkG,0.759,0.973,-5.928,0.0871,0.0413,0.879,0.105,0.566,149.978
0yLdNVWF3Srea0uzk55zFn,0.707,0.681,-4.325,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999
4Pe9bvb8vwcBaAEVCTmDIf,0.538,0.614,-15.802,0.95,0.714,0.0,0.176,0.195,92.644
5De9PaLrhwIECWgHi1TtRz,0.606,0.899,-6.23,0.0668,0.0175,0.00015,0.102,0.697,96.979
3ba5qIscHz4IIjp7x7os0W,0.791,0.575,-8.041,0.0313,0.294,0.0,0.296,0.945,112.051
5eMDvjJBNmEm7eIh0nIXfP,0.799,0.564,-10.167,0.449,0.783,0.0,0.359,0.859,79.998
3kmZAqXqxTYGWPBoeDDHDu,0.59,0.554,-8.218,0.0495,0.0122,0.743,0.142,0.341,164.128
5rpLPal82U3JYr6YAAe7rC,0.785,0.825,-4.75,0.0682,0.00244,0.67,0.327,0.253,135.053
62oqXwOa4oyTQMbLhvzO4u,0.904,0.707,-4.881,0.0405,0.0418,0.0,0.121,0.258,100.001
7Mgar86aZLhSaQ6gIvzx2A,0.439,0.622,-10.62,0.0626,0.00441,0.00052,0.106,0.143,133.87
7m5zHlmme6OGM61lhp71ov,0.376,0.0273,-27.063,0.0468,0.959,0.634,0.0843,0.248,128.881
2OvJRINgc7vbmTgCAybnmV,0.793,0.656,-11.155,0.0548,0.521,0.832,0.1,0.861,115.988
6ImDMQRllHfX1wjT3RKV5u,0.367,0.988,-5.866,0.101,1.09e-05,0.857,0.208,0.0383,110.588
7yIvpOu3sQVUFlARVxI6Z4,0.469,0.189,-16.495,0.0518,0.979,0.791,0.0906,0.321,144.758
4fx8DWqGuiP5mrIXfA2xzo,0.33,0.325,-13.971,0.0341,0.404,0.0167,0.0724,0.28,183.757
2DMDg10HAK0nFRrdg40bQ5,0.908,0.418,-8.945,0.211,0.497,0.0,0.293,0.675,138.005
1JIZ9yFH7vjMQzMS1bM4VF,0.434,0.0314,-26.396,0.049,0.995,0.849,0.102,0.201,134.162
5rpFMQDHhIdBdUtMEr38jv,0.298,0.968,-4.087,0.14,0.000214,4.47e-05,0.294,0.393,97.287
4rGO1E1mYKpTGLpbaIhCJB,0.149,0.744,-6.206,0.0627,2.01e-06,0.86,0.286,0.333,136.808
5KLXBrAC16lWoC66kxU7hf,0.208,0.0298,-25.588,0.0381,0.987,0.929,0.09,0.0392,81.449
